time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,3.82709052492e-08,2.02352602734e-07,10.0008394357,0.000224291530919,6.28312249997,0.0,4.06490734153e-06,1.78004425421e-05,0.0279806029428,0.0103263546385,-0.00322732569789,0.0,413.947863853606,413.66384283419313,412.5778281723123,413.48831618243605
0.12000000000000001,2.54351975108e-06,9.45632139417e-06,10.0090453413,0.00082855803003,6.28304703563,0.0,9.51935736431e-05,0.000363742666276,0.245527343912,0.00955566267404,0.00241632711589,0.0,473.08952259072186,473.5238193691884,472.18942656737715,472.12984873994526
0.18,1.035688884e-05,5.06317445511e-05,10.0269006123,0.00127563289728,6.28270599588,0.0,0.000165509081002,0.00106148498803,0.349621529368,0.00286979584102,-0.0314330220961,0.0,440.0595375833943,437.24912332037763,438.17328957589956,437.61710542274614
0.23999999999999996,3.94251372965e-05,0.000144346795777,10.0532096612,0.00140537294238,6.28067186793,0.0,0.00102526803505,0.00207944394229,0.527280801628,0.000708370319336,-0.0393633292243,0.0,461.21288300664173,460.5857831424175,461.26071015006204,461.08996882737006
0.3,0.000172721496481,0.000303713497725,10.0914791643,0.00167632623845,6.2780678439,0.0,0.00371347129128,0.00325250356059,0.7482495633,0.0112119606351,-0.0530278492985,0.0,474.41371865764364,473.3625432578449,473.81433824745585,474.6209721342235
0.36000000000000004,0.000534789037295,0.00054289152961,10.1431529237,0.00237125936876,6.27505418414,0.0,0.0087275393568,0.00480229399357,0.974041559195,0.0123126350771,-0.0451467400012,0.0,475.58882972601646,476.19057464402675,475.5527845265291,475.63694288217886
0.4200000000000001,0.00124653421858,0.00088562086961,10.2057192334,0.00305912334148,6.27201249295,0.0,0.0153018251676,0.00669846023779,1.11137531995,0.00971156458601,-0.065105912815,0.0,451.0141267247716,449.39767442903803,449.0323470756694,448.82119244202886
0.48000000000000015,0.00245191664767,0.00136398885662,10.2788848268,0.00325363875019,6.26799252135,0.0,0.0253467470608,0.00929859857418,1.3272461755,-0.0146399574028,-0.0710824105957,0.0,473.8198902174666,473.35718528299856,474.32448651814707,472.4508554060498
0.5400000000000001,0.00434774132062,0.00199502997677,10.3643438207,0.00278540155696,6.26322445833,0.0,0.0383545867773,0.0116603749876,1.52114072833,0.0032123885751,-0.106934152939,0.0,468.9281867216446,466.1297946705538,466.7676761870455,468.158767467694
0.6000000000000002,0.00708961235993,0.0027533159935,10.4587804179,0.00281260626884,6.25663321448,0.0,0.0537058469279,0.0136273634497,1.62658623965,-0.00573164192977,-0.116441489652,0.0,440.3728092587955,439.57487698580724,442.3174427889564,441.5803072032742
0.6600000000000003,0.0109676221665,0.00363586877926,10.5622548799,0.00265891666869,6.2494841663,0.0,0.0763731228597,0.0157620451061,1.82224683916,0.00312548603862,-0.125203554253,0.0,469.0161384668106,468.323147651092,468.78532911150785,469.4730579757469
0.7200000000000003,0.0164393758189,0.00465062588028,10.6792673715,0.0033694757878,6.2420166101,0.0,0.106939576977,0.0181231129578,2.07770544024,0.0252119609088,-0.123012196749,0.0,487.0864298248211,487.23768806990597,485.970038438222,487.6225397484517
0.7800000000000004,0.0238001472731,0.00581898825026,10.8084808862,0.0047771017191,6.23522535196,0.0,0.139178279458,0.0209814244822,2.22909196648,0.0197050782061,-0.0985431424455,0.0,455.99789407414164,457.9368970849886,457.7365624988352,457.29817458602577
0.8400000000000004,0.0331134469401,0.00717599436671,10.9442231328,0.00583422497617,6.23074605092,0.0,0.171741686662,0.0243603023411,2.29549039506,0.0130805975198,-0.0481024358387,0.0,429.63789519628295,433.88746495125974,431.0332159910045,430.47297551620176
0.9000000000000005,0.0445693492384,0.00876756439942,11.0860161166,0.00669920774857,6.22808053373,0.0,0.210402787812,0.0287787887539,2.43064401351,0.0169622926336,-0.037934595652,0.0,452.21090197232047,453.0280635327677,453.76751021556424,454.07888676843055
0.9600000000000005,0.0583550066585,0.0106383924139,11.2350966504,0.00787965172209,6.22573014822,0.0,0.249343414277,0.0336942575217,2.53845457799,0.0246098270591,-0.0417721508459,0.0,445.35520604302314,445.0404522798413,445.3245056903567,445.9495704883
1.0200000000000005,0.0747739026619,0.0128652381211,11.3949158552,0.00934523737057,6.223709931,0.0,0.298194614475,0.0407116429944,2.7882525833,0.0240571265523,-0.0210484214399,0.0,487.984441533872,489.52849425429645,488.034389890447,487.99316066710327
1.0800000000000005,0.0938404014339,0.0154971112031,11.5642207703,0.0109287095069,6.2219612638,0.0,0.337480265277,0.0471629938874,2.85506379798,0.0306918884378,-0.0548575618284,0.0,435.16722879667867,432.3273671392708,434.46602417275744,435.0221076971188
1.1400000000000006,0.115081683344,0.0185077356443,11.7339180499,0.0124559574402,6.21896932051,0.0,0.37081636101,0.0533282438208,2.80162155372,0.0120996770128,-0.0413955255862,0.0,392.44777592121966,393.693380596145,396.01564120724566,394.3019224175599
1.2000000000000006,0.138811906024,0.0219961398001,11.9072615205,0.0134706934159,6.21700807,0.0,0.420406060237,0.0630459256544,2.97602924238,0.0251235085806,-0.0193314036208,0.0,466.1615896449261,467.8820822306515,467.9670617898629,468.97964796328705
1.2600000000000007,0.165274952353,0.026035453137,12.0868275044,0.0149185156997,6.21601412167,0.0,0.461784522193,0.07173261432,3.00939943016,0.0220664727899,-0.011540707389,0.0,424.3554577254861,425.0237640367246,424.5509786399353,424.28870092678306
